=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | daisy-still-03.png -> daisy-still-03.webp | 3840x1634 -> 2800x1191 | 2299KB -> 184KB | match=exact-relative
OK | independence-diary-still-01.png -> independence-diary-still-01.webp | 3600x2018 -> 2800x1570 | 6354KB -> 561KB | match=exact-relative
OK | independence-diary-still-03.png -> independence-diary-still-03.webp | 3600x2018 -> 2800x1570 | 6225KB -> 254KB | match=exact-relative
OK | 광주시-민선8기-출범-3주년-기념행사-still-01.jpg -> gwangjusi-minseon8gi-culbeom-3junyeon-ginyeomhaengsa-still-01.webp | 580x378 -> 580x378 | 36KB -> 42KB | match=exact-relative
OK | the-rascals-hero.png -> the-rascals-hero.webp | 3600x2018 -> 2800x1570 | 7528KB -> 346KB | match=exact-relative
OK | romance-literacy-still-05.png -> romance-literacy-still-05.webp | 3600x2014 -> 2800x1566 | 5750KB -> 288KB | match=exact-relative
OK | daisy-still-01.png -> daisy-still-01.webp | 3840x1634 -> 2800x1191 | 5384KB -> 330KB | match=exact-relative
OK | sara-still-16.png -> sara-still-16.webp | 3600x1676 -> 2800x1304 | 4921KB -> 200KB | match=exact-relative
OK | sara-still-02.png -> sara-still-02.webp | 3600x1676 -> 2800x1304 | 4434KB -> 140KB | match=exact-relative
OK | alien-still-01.png -> alien-still-01.webp | 3600x1532 -> 2800x1192 | 5172KB -> 189KB | match=exact-relative
OK | alien-still-15.png -> alien-still-15.webp | 3600x1532 -> 2800x1192 | 6125KB -> 284KB | match=exact-relative
OK | 0-track-hero.png -> 0-track-hero.webp | 3600x2016 -> 2800x1568 | 5043KB -> 329KB | match=exact-relative
OK | gang-still-15.jpg -> gang-still-15.webp | 3840x2160 -> 2800x1575 | 2475KB -> 259KB | match=exact-relative
OK | gang-still-01.jpg -> gang-still-01.webp | 3840x2160 -> 2800x1575 | 1934KB -> 101KB | match=exact-relative
